DTXSID	canonical SMILES
DTXSID1020770	O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
DTXSID8024523	C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
DTXSID6041424	CC(C)CCCC(C)(C)O
DTXSID6042074	Cc1ccc(C(C)C)cc1O
DTXSID0020286	Cc1ccc(N)cc1Cl
DTXSID1032640	CC(COc1ccc(Oc2ccccc2)cc1)Oc1ccccn1
DTXSID0027983	COC(C)COC(C)CO
DTXSID5024681	CC(C)(C)N
DTXSID9035175	c1coc(CNc2ncnc3nc[nH]c23)c1
DTXSID2026446	CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC
DTXSID2039336	C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O
DTXSID1034210	CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-]
DTXSID9041861	CCO[P+](=O)OCC
DTXSID5023871	Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1
DTXSID2020137	Nc1ccc(-c2ccc(N)cc2)cc1
DTXSID8024284	COCC(C)O
DTXSID0023581	CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
DTXSID7024299	C[C@H]1C(c2ccc(Cl)cc2)SC(=O)N1C(=O)NC1CCCCC1
DTXSID5020784	CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
DTXSID6027218	CCc1cccc(CC)c1N
DTXSID3036105	CC(=O)OC1CCCCC1C(C)(C)C
DTXSID4032532	CCOC(=O)C(Cl)Cc1cc(-n2nc(C)n(C(F)F)c2=O)c(F)cc1Cl
DTXSID7041708	Cc1ccc(N/N=c2\c(=O)cc/c(=N/Nc3ccc(S(=O)(=O)[O-])cc3)c2=O)c(C)c1.[Na+]
DTXSID1032690	COC(=O)N(C(=O)N1CO[C@@]2(C(=O)OC)Cc3cc(Cl)ccc3C2=N1)c1ccc(OC(F)(F)F)cc1
